iter	Passed	Remaining
398	372485	561062
399	373426	560139
400	374342	559180
401	375468	558532
402	376561	557834
403	377701	557202
404	378984	556779
405	380120	556136
406	381070	555221
407	381991	554262
408	383187	553701
409	384208	552884
410	385201	552029
411	386236	551230
412	387254	550407
413	388351	549695
414	389598	549193
415	390771	548582
416	391580	547461
417	392800	546912
418	393768	546012
419	395470	546125
420	396571	545403
421	397637	544632
422	398670	543813
423	399841	543181
424	400655	542063
425	401678	541228
426	402758	540470
427	403906	539799
428	405271	539417
429	406006	538194
430	407233	537623
431	408217	536730
432	409408	536108
433	410733	535657
434	411759	534813
435	412803	533993
436	413768	533069
437	415193	532736
438	416499	532246
439	418031	532039
440	420006	532389
441	421457	532066
442	421892	530460
443	422264	528781
444	422726	527220
445	423085	525537
446	423329	523716
447	423670	522022
448	423992	520311
449	424445	518766
450	424861	517181
451	425204	515513
452	425486	513776
453	425778	512059
454	426039	510310
455	426295	508562
456	426539	506807
457	426755	505025
458	427077	503374
459	427352	501674
460	427618	499970
461	427905	498297
462	428199	496637
463	428546	495045
464	428820	493373
465	429163	491788
466	429503	490203
467	429803	488579
468	430155	487020
469	430455	485407
470	430774	483820
471	431143	482295
472	431441	480696
473	431769	479136
474	432087	477570
475	432353	475952
476	432619	474340
477	432961	472815
478	433250	471238
479	433509	469635
480	433790	468060
481	434038	466455
482	434312	464885
483	434586	463319
484	434853	461751
485	435139	460209
486	435365	458608
487	435624	457048
488	435899	455510
489	436165	453967
490	436424	452423
491	436656	450856
492	436931	449339
493	437200	447821
494	437460	446297
495	437694	444754
496	437937	443224
497	438157	441677
498	438413	440170
499	438658	438658
500	438907	437155
501	439191	435692
502	439448	434206
503	439719	432739
504	440005	431292
505	440239	429799
506	440471	428309
507	440722	426841
508	440980	425386
509	441225	423922
510	441468	422461
511	441685	420981
512	441960	419560
513	442238	418147
514	442464	416689
515	442710	415255
516	442983	413851
517	443239	412434
518	443464	410994
519	443721	409588
520	443969	408178
521	444234	406789
522	444483	405389
523	444740	404000
524	445017	402635
525	445343	401317
526	445617	399956
527	445877	398587
528	446182	397263
529	446421	395883
530	446679	394524
531	447004	393229
532	447313	391923
533	447598	390601
534	447856	389258
535	448103	387910
536	448349	386565
537	448602	385230
538	448870	383913
539	449131	382593
540	449413	381295
541	449681	379988
542	449992	378723
543	450304	377460
544	450566	376160
545	450844	374877
546	451111	373589
547	451385	372310
548	451619	371002
549	451923	369755
550	452195	368485
551	452490	367238
552	452759	365973
553	453024	364708
554	453344	363492
555	453618	362241
556	453895	360998
557	454162	359748
558	454430	358503
