iter	RMSE
0	1.235474165
1	1.200463092
2	1.16631157
3	1.132983472
4	1.10081671
5	1.069539357
6	1.039405378
7	1.010126532
8	0.9815984695
9	0.9537954274
10	0.9268365405
11	0.9008322778
12	0.8755844225
13	0.8510670545
14	0.8273125476
15	0.8040686844
16	0.7815503223
17	0.7599253508
18	0.7388701205
19	0.7183503803
20	0.6984930567
21	0.6793907857
22	0.6606545735
23	0.6425454739
24	0.6249096503
25	0.6079921066
26	0.5914349742
27	0.5753024232
28	0.5597444893
29	0.5446796047
30	0.529955065
31	0.5157312303
32	0.5019682999
33	0.4885932626
34	0.4755608768
35	0.4628832391
36	0.4505961747
37	0.438586928
38	0.4269828878
39	0.415774638
40	0.4049209131
41	0.3943695781
42	0.3840825106
43	0.3741410395
44	0.3644312474
45	0.355035824
46	0.3460008909
47	0.3373521929
48	0.3286766915
49	0.3203708028
50	0.3123801485
51	0.3045891183
52	0.297049638
53	0.2896206099
54	0.2826358163
55	0.2758254012
56	0.2691065294
57	0.2626199244
58	0.256321701
59	0.2502702474
60	0.2443932656
61	0.2385903403
62	0.2329741889
63	0.2276684996
64	0.2224743976
65	0.2173970335
66	0.2125864192
67	0.2078346241
68	0.2033259627
69	0.1988779891
70	0.1946168797
71	0.1905513788
72	0.1865767116
73	0.1827374549
74	0.1790074591
75	0.1754956388
76	0.1720291046
77	0.1686875286
78	0.1653878094
79	0.1621841776
80	0.1592073872
81	0.1562578222
82	0.1534000178
83	0.150679085
84	0.1480399711
85	0.1455544358
86	0.1428373445
87	0.1405249741
88	0.137908144
89	0.1352740172
90	0.1327668237
91	0.130356702
92	0.1280372385
93	0.1257850043
94	0.1236238544
95	0.1215064995
96	0.1194707053
97	0.1175323053
98	0.1156485965
99	0.11387285
100	0.1121312287
101	0.1104721956
102	0.1089064641
103	0.1073983876
104	0.1058688076
105	0.1044326778
106	0.1030348839
107	0.101668401
108	0.1003396527
109	0.09911415537
110	0.0978954548
111	0.0967757529
112	0.09566114561
113	0.09459249956
114	0.09355478473
115	0.09261692783
116	0.09165927251
117	0.09077446538
118	0.08988714647
119	0.08903381254
120	0.08826556247
121	0.08747993656
122	0.08672121507
123	0.08601042128
124	0.08530956329
125	0.08457872792
126	0.08394702786
127	0.08326709415
128	0.08269449411
129	0.08211754257
130	0.08151819372
131	0.08094443065
132	0.08040997437
133	0.0799180526
134	0.07944884174
135	0.07900787976
136	0.07855220531
137	0.07807055098
138	0.07761939015
139	0.07719015445
140	0.07678233094
141	0.07636567445
142	0.07601594581
143	0.07559642292
144	0.07523823928
145	0.07487200291
146	0.07446699115
147	0.07412693218
148	0.07377836201
149	0.07342746747
150	0.07310386798
151	0.07277637905
152	0.0724520526
153	0.07220081867
154	0.0718910851
155	0.07159506745
156	0.07134422816
157	0.07114308724
158	0.07088869728
159	0.07060733264
160	0.070379815
161	0.07013924051
162	0.06990397821
163	0.06964621601
164	0.06940064406
165	0.06917167435
166	0.06895034331
167	0.06872439513
168	0.06847839655
169	0.0682317869
170	0.06801259471
171	0.06780244612
172	0.06764910749
173	0.06724238517
174	0.06705748329
175	0.06691901327
176	0.06672364106
177	0.06653575943
178	0.06637282937
179	0.06610820945
180	0.06591824176
181	0.06571174873
182	0.06554926016
183	0.06537861432
184	0.06520554559
185	0.06509003971
186	0.06494945786
